name,Water_Absorption_%,Hardness,Thermal_Conductivity_(mW/m.K),Plasticizer,Polymer_1,Toughener_1,Colorant,Stabilizer_1,Flame_retardant_1,Antioxidant,Metal_powder_1,Metal_powder_2,Metal_powder_3,Antistatic,Polymer_2,Stabilizer_2,Toughener_2,Clarifier_1,Clarifier_2,Clarifier_3,Polymer_3,Polymer_4,UV_absorber_1,UV_absorber_2,Flame_retardant_2,Polymer_5,Stabilizer_3,Filler_1,Filler_2,Toughener_3,Filler_3
Formula_74,2.153920366,118.2160624,29.77118405,0.02464146,0.596392148,0.0,0.001858684,0.004858684,0.170098288,0.0,0.000960755,0.0,0.014737121,0.001400057,0.161623387,0.004080865,0.019348552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Formula_75,2.062197098,104.665526,0.573218408,0.00563217,0.0,0.0,0.0,0.0,0.002233796,0.00045883,0.0,0.004997112,0.0,0.0,0.001984763,0.0,0.007316834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195458831,0.781458831,0.000458831,0.0,0.0,0.0,0.0
Formula_36,2.778520867,141.744158,34.375229,0.0,0.711097442,0.024879314,0.0,0.0,0.169691134,0.014879312,0.0,0.0,0.012811096,0.0,0.0,0.001762388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064879314,0.0
Formula_17,1.45957184,81.0825963,14.18951074,0.0,0.437069314,0.0,0.0,0.0,0.134502693,0.0,0.389898213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03852978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Formula_78,2.383988293,127.2983055,32.51148071,0.045546368,0.681146584,0.027684653,0.0,0.002684653,0.163567022,0.027684652,0.010703774,0.0,0.014653967,0.0,0.022537446,0.003790882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Formula_39,1.488513716,115.3018269,10.84742918,0.0,0.586958338,0.0,0.0,0.0,0.150196737,0.0,0.0,0.006260236,0.0,0.0,0.25383742,0.00274727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Formula_88,1.502494721,101.688161,20.90939222,0.0,0.662870464,0.0,0.001891765,0.004891765,0.160789534,0.0,0.034800186,0.0,0.010150446,0.002992826,0.114565836,0.00594605,0.001101127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Formula_44,2.60683388,60.83289023,1.35417664,0.0,0.962050062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037949938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
